time,City,Confirmed,Death,Recovered,Incidence
443,20200327T00:00:00Z,검역,144,0,0,-
444,20200328T00:00:00Z,합계,9478,144,4811,18.28
445,20200328T00:00:00Z,서울,390,0,93,4.01
446,20200328T00:00:00Z,부산,114,2,81,3.34
447,20200328T00:00:00Z,대구,6587,101,3543,270.35
448,20200328T00:00:00Z,인천,51,0,14,1.73
449,20200328T00:00:00Z,광주,20,0,11,1.37
450,20200328T00:00:00Z,대전,31,0,10,2.10
451,20200328T00:00:00Z,울산,39,0,19,3.40
452,20200328T00:00:00Z,세종,44,0,9,12.85
453,20200328T00:00:00Z,경기,433,5,140,3.27
454,20200328T00:00:00Z,강원,32,1,20,2.08
455,20200328T00:00:00Z,충북,41,0,21,2.56
456,20200328T00:00:00Z,충남,126,0,81,5.94
457,20200328T00:00:00Z,전북,10,0,7,0.55
458,20200328T00:00:00Z,전남,8,0,3,0.43
459,20200328T00:00:00Z,경북,1285,35,692,48.26
460,20200328T00:00:00Z,경남,91,0,63,2.71
461,20200328T00:00:00Z,제주,8,0,4,1.19
462,20200328T00:00:00Z,검역,168,0,0,-
463,20200329T00:00:00Z,합계,9583,152,5033,18.48
464,20200329T00:00:00Z,서울,410,0,93,4.21
465,20200329T00:00:00Z,부산,117,3,85,3.43
466,20200329T00:00:00Z,대구,6610,106,3706,271.29
467,20200329T00:00:00Z,인천,58,0,15,1.96
468,20200329T00:00:00Z,광주,20,0,11,1.37
469,20200329T00:00:00Z,대전,34,0,14,2.31
470,20200329T00:00:00Z,울산,39,0,19,3.40
471,20200329T00:00:00Z,세종,46,0,11,13.44
472,20200329T00:00:00Z,경기,448,5,144,3.38
473,20200329T00:00:00Z,강원,34,1,21,2.21
474,20200329T00:00:00Z,충북,41,0,21,2.56
475,20200329T00:00:00Z,충남,127,0,83,5.98
476,20200329T00:00:00Z,전북,12,0,7,0.66
477,20200329T00:00:00Z,전남,9,0,3,0.48
478,20200329T00:00:00Z,경북,1287,37,732,48.34
479,20200329T00:00:00Z,경남,94,0,64,2.80
480,20200329T00:00:00Z,제주,8,0,4,1.19
481,20200329T00:00:00Z,검역,189,0,0,-
482,20200330T00:00:00Z,합계,9661,158,5228,18.63
483,20200330T00:00:00Z,서울,426,0,92,4.38
484,20200330T00:00:00Z,부산,118,3,87,3.46
485,20200330T00:00:00Z,대구,6624,111,3837,271.87
486,20200330T00:00:00Z,인천,58,0,15,1.96
487,20200330T00:00:00Z,광주,20,0,13,1.37
488,20200330T00:00:00Z,대전,34,0,17,2.31
489,20200330T00:00:00Z,울산,39,0,19,3.40
490,20200330T00:00:00Z,세종,46,0,12,13.44
491,20200330T00:00:00Z,경기,463,5,160,3.49
492,20200330T00:00:00Z,강원,36,1,21,2.34
493,20200330T00:00:00Z,충북,44,0,21,2.75
494,20200330T00:00:00Z,충남,127,0,83,5.98
495,20200330T00:00:00Z,전북,13,0,7,0.72
496,20200330T00:00:00Z,전남,9,0,3,0.48
497,20200330T00:00:00Z,경북,1298,38,772,48.75
498,20200330T00:00:00Z,경남,95,0,65,2.83
499,20200330T00:00:00Z,제주,9,0,4,1.34
500,20200330T00:00:00Z,검역,202,0,0,-
501,20200331T00:00:00Z,합계,9786,162,5408,18.87
502,20200331T00:00:00Z,서울,450,0,107,4.62
503,20200331T00:00:00Z,부산,119,3,87,3.49
504,20200331T00:00:00Z,대구,6684,114,3946,274.33
505,20200331T00:00:00Z,인천,64,0,16,2.17
506,20200331T00:00:00Z,광주,20,0,14,1.37
507,20200331T00:00:00Z,대전,36,0,18,2.44
508,20200331T00:00:00Z,울산,39,0,19,3.40
509,20200331T00:00:00Z,세종,46,0,12,13.44
